qc_id,fid,etiqueta,nombre,coordenada x,coordenada y,imagen,icon_url
0,1,A14,Cuarzo,"662927","998778",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen10.jpg,./0.png
1,2,B11,Dacita,"659482","990111",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen11.jpg,./0.png
2,3,B12,Aglomerado,"593627","949785",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen12.jpg,./0.png
3,4,B13,Brecha Hidrotermal,"647173","1005621",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen13.jpg,./0.png
4,5,B14,Dacita,"593627","949785",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen14.jpg,./0.png
5,6,B15,Andesita ,"659486","994644",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen15.jpg,./0.png
6,7,B21,Basalto Vidrioso,"661470","994390",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen16.jpg,./0.png
7,8,B22,Toba De Lapilli,"659026","993335",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen17.jpg,./0.png
8,9,B25,Andesita ,"618076","958586",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen18.jpg,./0.png
9,10,B33,Zeolita,"661311","994436",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen19.jpg,./0.png
10,11,B35,Ignimbrita,"659007","993145",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen20.jpg,./0.png
11,12,C11,Piedra Pomez,"612224","933976",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen21.jpg,./0.png
12,13,C12,Basalto ,"623258","963206",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen22.jpg,./0.png
13,14,C13,Ignimbrita,"579730","948501",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen23.jpg,./0.png
14,15,C14,Toba,"617933","936722",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen24.jpg,./0.png
15,16,C15,Brecha Hidrotermal (P.J),"582000","950056",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen25.jpg,./0.png
16,17,D32,Skarn,"575795","835287",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen 26.jpg,./0.png
17,18,D23,Basalto Vidrioso?,"575759","850424",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\Imagen26.jpg,./0.png
18,19,D24,Pillow Lava,"587546","821206",C:\Users\Darlenis\OneDrive\Imágenes\FOTOGRAFIAS DE MUESTRAS\imagen 28.jpg,./0.png
